id,name,population,pm2010,pm2011,pm2012,pm2013,pm2014,pm2015,pm2016,pm2017,pm2018,pm2019,pm2020,pm2021,pm2022
ALA,Åland,27385.0,5.93,5.03,4.9,4.73,6.24,4.14,3.93,3.48,4.59,4.32,4.23,4.97,3.97
AFG,Afghanistan,38341695.0,15.74,19.08,15.19,14.33,14.58,15.01,15.39,14.72,14.49,15.78,16.03,17.2,16.98
XAD,Akrotiri and Dhekelia,24062.0,10.51,15.77,16.97,11.56,11.16,11.12,10.66,10.98,9.73,9.75,11.5,10.55,13.42
ALB,Albania,3087971.0,10.99,18.93,15.97,13.88,11.54,14.88,12.51,13.89,13.65,13.02,12.83,11.97,12.6
DZA,Algeria,44081508.0,5.39,6.96,6.69,6.46,5.36,6.89,5.56,6.44,6.17,6.12,5.67,5.72,6.14
ASM,American Samoa,42424.0,1.0,0.96,1.16,1.16,1.3,1.5,1.26,1.36,1.36,1.3,1.16,1.0,1.4
AND,Andorra,85550.0,9.67,9.17,8.42,7.85,6.95,7.94,7.01,7.52,7.78,6.56,6.76,6.89,8.72
AGO,Angola,34602281.0,23.64,20.41,20.04,20.81,17.83,19.97,19.78,16.98,18.65,20.79,17.99,17.32,21.07
AIA,Anguilla,17147.0,3.12,2.0,2.49,1.77,1.82,1.75,2.03,2.16,1.93,2.0,2.09,2.15,1.72
ATG,Antigua and Barbuda,94964.0,2.96,2.16,2.26,1.77,1.78,1.83,2.08,2.07,2.07,2.16,1.98,2.27,1.79
ARG,Argentina,46266318.0,10.75,11.69,10.82,11.07,10.89,10.83,11.3,10.61,10.74,11.38,12.52,11.19,12.44
ARM,Armenia,3008891.0,15.85,19.05,18.79,18.13,17.93,19.0,16.93,18.94,18.0,20.14,18.11,19.07,19.51
ABW,Aruba,115969.0,4.8,4.0,3.6,3.3,2.7,2.7,3.4,3.5,3.0,3.6,3.5,3.2,3.4
AUS,Australia,25766691.0,3.46,3.61,3.44,3.9,4.08,3.8,3.52,3.69,3.61,6.86,4.44,3.39,3.36
AUT,Austria,8913920.0,16.03,15.91,13.18,14.59,12.46,12.64,11.91,12.23,12.7,9.89,9.73,9.99,9.52
AZE,Azerbaijan,10276210.0,11.92,12.14,12.68,11.18,11.49,11.16,11.33,12.53,10.03,12.89,11.17,11.7,11.87
BHS,Bahamas,333580.0,3.94,4.0,3.44,2.95,3.04,2.86,3.25,3.42,2.92,2.95,2.93,3.43,3.11
BHR,Bahrain,1379922.0,20.18,19.04,20.67,18.44,19.05,18.97,18.37,22.04,20.91,20.52,17.97,18.86,22.75
BGD,Bangladesh,166358337.0,64.0,65.35,67.78,61.62,64.93,62.0,61.4,60.19,74.51,63.35,69.3,69.74,54.17
BRB,Barbados,297472.0,2.79,2.07,2.34,1.95,1.78,1.87,2.1,2.34,2.14,2.09,2.17,2.28,2.0
BLR,Belarus,9413449.0,18.53,16.15,15.71,16.43,16.25,14.33,13.63,13.68,14.18,12.08,11.37,12.68,9.84
BEL,Belgium,11846135.0,16.34,15.59,13.73,14.8,11.84,11.45,11.36,10.97,11.34,9.54,8.3,10.08,8.82
BLZ,Belize,395596.0,11.3,13.82,9.43,11.71,10.24,10.01,9.17,9.95,9.65,10.1,13.36,9.93,9.89
BEN,Benin,13725762.0,18.88,18.0,17.76,16.18,15.64,17.4,17.88,17.63,17.31,17.0,19.02,17.66,17.31
BMU,Bermuda,66281.0,3.58,3.69,3.76,3.36,3.55,3.12,3.0,3.02,2.66,2.8,3.09,3.18,2.8
BTN,Bhutan,870112.0,28.04,29.64,29.49,26.28,30.31,30.88,28.47,28.14,30.39,29.28,29.56,29.7,22.78
BOL,Bolivia,12054370.0,36.92,29.23,25.51,23.72,25.16,26.1,27.36,26.77,25.7,27.92,30.36,27.45,29.63
BES,Bonaire Sint Eustatius and Saba,22934.0,4.74,3.63,3.57,3.02,2.77,2.67,3.41,3.42,2.88,3.47,3.28,3.12,3.29
BIH,Bosnia and Herzegovina,3806498.0,27.98,32.95,28.95,26.19,24.04,29.49,28.35,27.49,26.63,22.77,25.1,22.92,23.93
BWA,Botswana,2384063.0,18.29,13.9,15.14,14.79,11.45,15.01,13.65,12.74,14.63,13.53,11.85,12.69,12.47
BVT,Bouvet Island,,,,,,,,,,,,,,
BRA,Brazil,216878372.0,12.39,11.84,11.0,10.57,10.61,11.45,11.07,10.88,10.83,11.08,11.01,11.25,12.06
IOT,British Indian Ocean Territory,,,,,,,,,,,,,,
VGB,British Virgin Islands,33469.0,2.96,1.72,2.03,1.72,1.72,1.63,1.83,2.23,1.82,1.82,1.92,2.02,1.52
BRN,Brunei,470745.0,7.0,8.36,8.46,7.14,7.91,12.02,8.4,5.44,7.47,10.72,5.94,6.35,6.33
BGR,Bulgaria,6867646.0,18.6,29.0,23.33,20.4,20.34,19.09,18.52,19.57,19.25,18.28,18.04,17.24,18.86
BFA,Burkina Faso,21914677.0,11.22,9.71,9.72,8.65,9.55,9.56,9.01,9.42,9.41,8.92,8.59,9.22,8.66
BDI,Burundi,12697469.0,38.25,38.62,37.93,38.9,34.47,37.0,36.69,30.72,29.99,37.8,35.85,34.65,34.04
CIV,Côte d'Ivoire,28622030.0,12.2,12.43,10.48,10.09,10.05,10.82,11.11,10.32,10.2,10.42,10.7,10.45,10.45
CPV,Cabo Verde,561328.0,2.46,1.94,2.21,2.17,1.83,2.25,1.99,2.17,2.25,2.07,2.11,2.65,2.18
KHM,Cambodia,16701354.0,18.68,18.63,15.23,18.72,16.84,15.69,16.49,15.78,18.25,16.62,18.99,17.74,16.94
CMR,Cameroon,29372500.0,33.66,32.09,32.73,32.88,30.95,30.65,33.46,34.05,33.62,32.39,33.4,33.08,32.58
CAN,Canada,37594104.0,6.84,7.04,6.59,6.84,7.15,7.07,5.85,6.65,6.85,6.12,5.69,7.51,6.04
CYM,Cayman Islands,58915.0,6.11,7.75,6.59,6.68,7.54,7.2,6.26,6.27,7.61,8.15,7.25,8.38,8.0
CAF,Central African Republic,5499232.0,28.42,29.71,28.02,29.18,26.87,27.1,27.73,27.16,28.7,26.96,28.43,26.67,24.99
TCD,Chad,17996421.0,13.6,12.75,13.12,11.73,12.16,13.02,12.96,13.4,12.94,12.84,12.9,12.64,11.27
CHL,Chile,18102806.0,16.29,17.99,16.39,16.44,16.9,17.52,18.46,16.92,16.2,15.83,14.91,17.68,22.84
CHN,China,1415126381.0,44.1,49.79,45.39,47.84,48.51,45.7,42.32,39.76,35.07,34.51,31.43,29.2,28.18
CXR,Christmas Island,1362.0,2.7,2.9,3.7,3.1,4.2,4.2,4.3,3.0,2.9,3.1,2.8,2.3,2.9
XCL,Clipperton Island,,,,,,,,,,,,,,
CCK,Cocos Islands,466.0,1.6,1.9,2.1,1.8,1.9,2.1,1.8,1.8,1.7,1.9,1.5,1.5,1.7
COL,Colombia,48809889.0,18.19,16.96,15.93,15.6,16.41,16.03,16.87,15.85,15.9,17.14,16.32,13.98,16.23
COM,Comoros,809018.0,7.09,7.08,6.6,7.39,5.13,5.54,5.89,6.48,6.16,6.22,5.94,5.67,6.99
COK,Cook Islands,6351.0,0.85,0.83,1.03,0.93,1.04,1.11,0.94,1.03,1.03,1.11,1.13,0.93,1.13
CRI,Costa Rica,5176343.0,15.07,14.11,12.5,12.73,11.68,11.5,12.66,13.17,11.56,11.88,12.12,11.9,12.63
HRV,Croatia,4122935.0,18.32,22.28,18.25,17.51,15.13,18.11,17.31,17.06,16.82,13.59,13.98,13.71,14.15
CUB,Cuba,10855124.0,6.98,7.31,5.79,5.95,5.87,5.69,5.73,6.09,5.87,6.37,6.34,6.37,6.34
CUW,Curaçao,148078.0,5.7,4.3,4.0,3.6,3.1,3.0,3.9,3.9,3.3,3.9,3.7,3.4,3.7
CYP,Cyprus,829571.0,11.61,17.28,18.75,12.35,12.17,12.21,11.77,11.95,10.65,10.36,12.29,11.24,14.68
CZE,Czechia,10700689.0,20.92,19.44,17.29,18.17,17.32,15.8,15.68,15.57,16.23,12.25,12.08,13.08,11.49
COD,Democratic Republic of the Congo,108370944.0,38.31,35.61,37.88,39.17,34.71,37.51,35.18,31.18,32.02,35.36,34.92,35.04,34.71
DNK,Denmark,5828515.0,10.67,12.3,8.78,8.28,10.09,8.2,7.91,7.68,9.35,8.1,6.7,7.31,7.08
DJI,Djibouti,940715.0,19.77,21.09,19.31,18.36,18.29,19.61,18.46,20.04,20.14,20.43,18.26,17.91,18.43
DMA,Dominica,67484.0,3.37,2.59,2.49,2.06,1.92,2.0,2.52,2.53,2.46,2.45,2.47,2.6,2.34
DOM,Dominican Republic,10626662.0,8.91,7.76,6.9,7.01,7.73,7.27,7.94,8.49,8.18,8.41,7.5,8.13,7.86
ECU,Ecuador,17258177.0,19.84,17.74,16.84,16.68,16.48,16.89,17.45,16.84,17.31,17.31,17.27,17.05,18.32
EGY,Egypt,107577572.0,14.65,18.2,19.37,16.18,16.83,18.34,17.75,19.37,17.17,16.28,18.76,18.01,19.16
SLV,El Salvador,6525580.0,30.1,30.71,26.97,28.98,25.92,25.19,26.27,27.36,26.42,28.18,28.13,26.57,27.43
GNQ,Equatorial Guinea,1643647.0,28.64,27.64,28.21,30.76,27.42,29.33,31.57,29.54,28.56,29.31,31.31,31.6,32.87
ERI,Eritrea,6148784.0,12.64,14.53,13.72,12.57,12.88,14.05,13.88,16.07,14.16,13.66,12.6,13.56,14.43
EST,Estonia,1200974.0,9.7,7.76,8.01,7.63,8.38,6.6,6.39,5.69,7.3,5.81,5.55,6.63,5.61
ETH,Ethiopia,113755806.0,17.66,18.72,16.61,17.26,16.18,17.71,17.18,17.89,17.46,17.16,16.88,17.2,16.94
FLK,Falkland Islands,3293.0,1.7,2.0,1.6,1.6,1.7,1.5,1.5,1.6,1.7,1.7,1.7,1.8,2.6
FRO,Faroe Islands,47161.0,2.65,2.67,2.09,2.82,3.23,2.34,1.75,2.4,2.33,2.51,2.31,2.69,2.61
FJI,Fiji,897896.0,2.69,2.86,2.56,2.64,2.37,2.67,2.51,3.29,2.9,2.78,2.36,2.55,3.23
FIN,Finland,5463386.0,7.18,6.24,6.24,5.66,6.52,5.18,4.99,4.36,5.29,4.56,4.34,4.82,4.37
FRA,France,65826552.0,14.49,13.77,12.09,12.94,9.58,10.32,9.82,9.32,9.26,7.87,7.46,8.81,8.45
GUF,French Guiana,294288.0,5.87,5.63,5.73,5.09,4.62,4.99,4.99,4.92,5.02,5.45,4.99,5.42,5.53
PYF,French Polynesia,241690.0,1.17,1.06,1.26,1.26,1.38,1.35,1.19,1.2,1.36,1.38,1.35,1.27,1.48
ATF,French Southern Territories,,,,,,,,,,,,,,
GAB,Gabon,2334485.0,23.47,23.4,23.59,26.05,23.47,25.11,26.01,23.16,23.42,24.06,25.16,24.28,25.65
GMB,Gambia,2396206.0,7.0,6.23,6.96,6.45,6.35,7.06,6.15,6.37,5.9,6.83,7.15,6.95,6.86
GEO,Georgia,4926730.0,12.02,14.87,13.75,13.31,13.6,13.56,12.56,14.01,12.34,13.5,13.14,12.55,13.65
DEU,Germany,84278085.0,15.19,14.52,11.91,12.74,12.41,11.22,11.08,11.14,11.39,9.12,8.38,9.28,8.51
GHA,Ghana,33060716.0,14.87,15.07,13.51,12.69,12.22,13.87,14.19,13.31,13.28,13.49,14.49,13.7,13.73
GIB,Gibraltar,24845.0,9.0,10.1,10.0,9.3,8.5,9.9,7.3,8.8,10.0,8.9,7.5,7.3,7.3
GRC,Greece,10352376.0,10.18,16.09,14.42,10.78,11.28,11.89,11.36,11.73,11.33,10.95,11.78,11.45,12.56
GRL,Greenland,31288.0,1.23,1.22,1.4,1.2,1.35,1.07,0.92,1.16,0.92,1.25,1.07,1.19,1.11
GRD,Grenada,106270.0,3.13,2.28,2.47,1.98,1.88,1.94,2.23,2.47,2.18,2.33,2.27,2.43,2.19
GLP,Guadeloupe,355723.0,3.6,2.7,2.65,2.15,2.15,2.1,2.65,2.65,2.55,2.6,2.45,2.65,2.35
GUM,Guam,165222.0,1.15,1.25,1.56,1.36,1.72,1.93,1.12,1.31,1.04,1.14,0.88,1.17,1.19
GTM,Guatemala,17685494.0,26.59,27.8,26.03,27.7,24.45,23.91,25.04,25.82,23.73,25.9,27.95,26.23,25.13
GGY,Guernsey,66824.0,9.43,9.58,8.81,9.32,8.19,6.9,7.77,7.1,7.66,7.15,6.42,7.95,6.87
GIN,Guinea,13158352.0,12.64,11.36,10.76,11.39,11.43,10.56,10.99,11.18,10.24,10.77,10.35,10.52,9.82
GNB,Guinea-Bissau,1949532.0,8.93,8.15,8.19,8.26,8.47,8.26,7.42,7.9,7.45,8.28,8.65,8.09,7.94
GUY,Guyana,750427.0,8.26,7.01,7.13,6.32,5.97,6.03,6.54,5.88,5.87,6.27,6.14,6.63,7.15
HTI,Haiti,11142349.0,11.46,10.02,9.13,10.08,10.25,10.06,9.78,10.23,10.31,10.92,10.32,11.04,9.92
HMD,Heard Island and McDonald Island,,,,,,,,,,,,,,
HND,Honduras,9419437.0,26.07,30.24,23.52,26.9,23.32,22.4,22.82,24.07,22.97,24.19,30.75,25.04,24.52
HUN,Hungary,9701698.0,18.83,21.97,18.47,17.52,15.94,17.31,15.63,17.41,16.0,12.89,12.6,13.01,11.93
ISL,Iceland,335735.0,3.38,2.97,2.75,2.96,3.1,2.78,2.64,3.06,2.51,3.23,2.48,3.98,2.9
IND,India,1388526433.0,47.57,50.48,46.38,47.58,46.56,46.55,49.77,49.88,50.15,49.2,48.82,51.3,41.39
IDN,Indonesia,273955814.0,17.75,18.84,18.9,17.95,22.45,24.06,19.46,16.53,18.83,22.13,17.47,18.46,18.25
IRN,Iran,86590416.0,17.12,18.53,18.43,15.51,17.42,16.77,16.06,18.49,17.35,18.28,17.61,16.64,18.8
IRQ,Iraq,40461073.0,25.1,26.84,29.02,26.08,25.31,25.67,23.56,25.78,26.79,23.77,24.18,25.35,32.42
IRL,Ireland,5077586.0,7.35,6.39,5.8,6.75,5.58,5.19,5.61,4.86,5.53,5.87,5.2,6.01,5.41
IMN,Isle of Man,89221.0,6.74,6.44,5.8,7.2,6.28,5.79,5.59,5.4,6.0,6.23,5.36,6.27,5.4
ISR,Israel,9030238.0,10.87,12.1,12.59,10.65,10.55,12.47,11.32,12.22,12.18,11.6,13.45,12.77,14.32
ITA,Italy,60574847.0,15.58,18.35,16.28,15.26,12.04,15.88,13.21,15.2,12.69,12.03,13.31,12.18,13.11
JAM,Jamaica,2785453.0,15.31,13.39,12.87,12.63,13.17,12.58,12.64,12.45,12.13,13.51,13.84,13.76,13.17
JPN,Japan,122988765.0,11.47,11.9,12.46,11.9,12.78,12.56,11.55,11.37,11.37,11.26,10.51,10.6,11.26
JEY,Jersey,98012.0,10.08,10.45,9.62,10.27,8.58,7.48,8.1,7.49,8.17,7.05,6.31,8.35,6.94
JOR,Jordan,11001930.0,15.13,17.28,18.62,15.51,14.95,17.36,17.57,17.55,17.34,15.96,21.39,17.7,19.7
KAZ,Kazakhstan,19412475.0,13.56,14.29,15.42,12.42,13.43,12.28,13.11,13.96,13.22,13.97,13.21,12.65,12.01
KEN,Kenya,55776521.0,17.5,17.61,16.62,17.02,14.83,14.96,15.73,13.63,15.68,16.64,18.12,16.5,16.47
KIR,Kiribati,69441.0,1.1,1.0,1.2,1.3,1.5,2.0,1.2,1.1,1.3,1.6,1.1,0.9,0.9
XKO,Kosovo,1948422.0,17.44,25.38,24.06,23.53,18.84,23.08,20.29,18.78,19.95,17.38,18.7,15.54,15.48
KWT,Kuwait,3046740.0,18.38,16.66,19.7,16.28,18.09,19.11,13.9,17.96,19.69,19.01,17.98,17.23,21.77
KGZ,Kyrgyzstan,5938511.0,12.4,14.28,15.38,12.58,12.73,13.26,13.92,13.77,13.16,14.74,13.12,13.03,12.09
LAO,Laos,7781722.0,30.7,27.48,25.15,27.02,27.66,25.28,28.7,25.18,24.22,27.01,27.13,25.35,23.53
LVA,Latvia,1838070.0,19.76,15.65,16.69,15.79,16.68,14.57,13.3,12.7,15.51,12.78,12.7,14.73,12.14
LBN,Lebanon,5262771.0,13.89,17.15,17.12,15.55,14.59,16.66,15.94,17.01,16.46,16.35,17.22,16.29,18.62
LSO,Lesotho,2192613.0,28.92,25.88,23.11,22.41,21.77,23.17,20.73,24.17,23.47,21.31,23.3,22.98,27.87
LBR,Liberia,5247463.0,11.11,11.56,9.66,10.41,10.09,10.44,10.63,9.88,9.68,10.57,9.76,9.03,9.39
LBY,Libya,7118055.0,5.54,7.4,6.97,6.9,5.2,7.33,5.72,6.6,5.87,5.84,6.84,6.4,8.89
LIE,Liechtenstein,39252.0,15.35,14.74,12.55,13.57,9.97,12.25,10.92,10.98,11.09,9.61,10.07,10.3,10.82
